# Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[O/Fe]	[C/Fe]
BD+17_3248	J.P.Fulbright+,ApJ, 595, 1154, 2003	17 28 14.47	+17 30 35.9	5025	2.23	-2	-2.01	0.53	
BD+17_3248	M.Spite+,AAP, 541, A143, 2012	17 28 14.47	+17 30 35.9	5250	1.4	-2.07	-2.07		
BD+17_3248	D.L.Burris+,ApJ, 544, 302, 2000	17 28 14.47	+17 30 35.9	5250	2.3	-1.8			
BD+17_3248	J.J.Cowan+,ApJ, 572, 861, 2002	17 28 14.47	+17 30 35.9	5200	1.8	-2	-2.06	0.67	-0.37
BD+17_3248	S.M.Andrievsky+,AAP, 464, 1081, 2007	17 28 14.47	+17 30 35.9	5250	1.4	-2.07	-2.07		
BD+17_3248	M.Spite+,AAP, 455, 291, 2006	17 28 14.47	+17 30 35.9	5250	1.4	-2.07	-2.07		-0.24
BD+17_3248	I.U.Roederer+,ApJ, 698, 1963, 2009	17 28 14.47	+17 30 35.9	5200	1.8	-2.08	-2.08		
BD+17_3248	M.Spite+,AAP, 528, A9, 2011	17 28 14.47	+17 30 35.9	5250	1.4	-2.07	-2.07		
BD+17_3248	J.J.Cowan+,ApJ, 627, 238, 2005	17 28 14.47	+17 30 35.9	5200	1.8	-2.08	-2.11		
BD+1_2341p	A.M.Boesgaard+,ApJ, 743, 140, 2011			6402	4.24	-2.67	-2.67	0.85	
BD+20_2030	E.Arnone+,AAP, 430, 507, 2005	08 16 07.35	+19 41 51.4	6200	3.9		-2.68		
BD+20_2030	A.M.Boesgaard+,ApJ, 743, 140, 2011			5978	3.61	-2.77	-2.77	0.65	
BD+20_2030	A.Hosford+,AAP, 493, 601, 2009	08 16 07.35	+19 41 51.4	6208	4.46	-2.63	-2.62		
BD+20_2030	J.A.Rich+,ApJ, 701, 1519, 2009	08 16 07.35	+19 41 51.4	5978	3.61	-2.77	-2.77	0.89	
BD+20_3603	A.M.Boesgaard+,ApJ, 743, 140, 2011			5908	3.61	-2.18	-2.18	0.27	
BD+20_3603	A.M.Boesgaard+,AJ, 117, 492, 1999	17 54 43.20	+20 16 16.0	6234	4.33	-2.15		0.84	
BD+20_3603	J.A.Rich+,ApJ, 701, 1519, 2009	17 54 43.20	+20 16 16.0	6114	4.27	-2.22	-2.22	0.74	
