# Object	Reference	RA	Decl	Teff	logg	Metallicity	metal	[C/Fe]	[Eu/Fe]	[Ba/Fe]	[Fe/H]
2MASSJ18070782-1517393	J.G.Fernandez-Trincado+,ApJ, 886, L8, 2019	18 07 07.82424	-15 17 39.3108	3924.7	1.126	-1.07	-1.07	0.11			-1.03
2MASSJ18082002-5104378	J.Melendez+,AAP, 585, L5, 2016	18 08 20.03	-51 04 37.9	5440	3	-4.07	-4.07	<0.94		<-0.31	-4.07
2MASSJ18111704-2352577	C.L.Kielty+,MNRAS, 471, 404, 2017	18 11 17.04	-23 52 57.7	4238	0.65	-1.82	-1.82	0.83			-1.82
2MASSJ19281906+4915086	J.G.Fernandez-Trincado+,ApJ, 886, L8, 2019	19 28 19.0604578434	+49 15 08.607707327	4309	1.715	-1.22	-1.22	-0.2			-1.25
2MASSJ21330683+1209406	C.L.Kielty+,MNRAS, 471, 404, 2017	21 33 06.83	+12 09 40.6	4220	0.39	-2.01	-2.01	0.98			-2.01
2MASSJ22163596+0246171	M.K.Mardini+,ApJ, 882, 27, 2019	22 16 35.96	+02 46 17.0	4945	1.53	-2.52	-2.52	0.29	<0.01	-0.08	-2.53
2MASSJ23203653-3637223	H.R.Jacobson+,ApJ, 807, 171, 2015	23 20 36.53	-36 37 22.3	5134	2	-2.63	-2.63	-0.08	<1.01	-0.18	-2.63
2MASSJ23261426-3719492	H.R.Jacobson+,ApJ, 807, 171, 2015	23 26 14.26	-37 19 49.2	5170	2.3	-2.55	-2.55	0.24		0.64	-2.55
2MASSJ23341347+4836321	J.G.Fernandez-Trincado+,ApJ, 886, L8, 2019	23 34 13.47456	+48 36 32.1840	4073.1	1.227	-1.17	-1.17	-0.03			-1.19
BD+01_2916	H.N.Li+,ApJ, 765, 51, 2013	14 21 45.26	+00 46 59.2	4200	0.1	-1.88	-1.88	-1.08	0.06		-1.71
BD+01_2916	W.Aoki+,PASJ, 60, L7, 2008	14 21 45.26	+00 46 59.2	4200	0.4	-1.9	-1.9	-0.54	0.19		-1.93
BD+01_2916	D.L.Burris+,ApJ, 544, 302, 2000	14 21 45.26	+00 46 59.2	4150	0.1	-1.8	-1.8		0.47	-0.15	-1.82
BD+02_3375	R.G.Gratton+,AAP, 404, 187, 2003	17 39 45.59	+02 24 59.6	5917	4.19	-2.32	-2.32				-2.38
BD+02_3375	D.K.Lai+,ApJ, 667, 1185, 2007	17 39 45.59	+02 24 59.6	5926	4.63	-2.25	-2.25	-0.04		-0.23	-2.08
BD+02_3375	A.M.Boesgaard+,AJ, 117, 492, 1999	17 39 45.59	+02 24 59.6	5949	4.17	-2.3	-2.3				-2.13
BD+02_3375	J.Melendez+,ApJ, 642, 1082, 2006	17 39 45.59	+02 24 59.6	6045	4.18	-2	-2				-2.24
BD+02_3375	J.A.Rich+,ApJ, 701, 1519, 2009	17 39 45.59	+02 24 59.6	5800	4.07	-2.39	-2.39				-2.39
BD+02_3375	T.V.Mishenina+,AAP, 396, 189, 2002	17 39 45.59	+02 24 59.6								-2.26
BD+02_3375	T.V.Mishenina+,AAP, 370, 951, 2001	17 39 45.59	+02 24 59.6	5960	3.6	-2.25	-2.25			-0.36	-2.26
BD+02_3375	G.S.Bai+,AAP, 425, 671, 2004	17 39 45.59	+02 24 59.6	5926	4.2	-2.25	-2.25			-0.32	-2.25
BD+02_3375	J.P.Fulbright+,AJ, 120, 1841, 2000	17 39 45.59	+02 24 59.6	5950	3.9	-2.2	-2.2			-0.32	-2.3
BD+02_3375	C.Charbonnel+,AAP, 442, 961, 2005	17 39 45.59	+02 24 59.6	5885	4.5	-2.32	-2.32				-2.32
BD+02_3375	E.Caffau+,AAP, 441, 533, 2005	17 39 45.59	+02 24 59.6	6018	4.2	-2.37	-2.37				-2.37
BD+02_3375	A.E.GarciaPerez+,AAP, 504, 213, 2009	17 39 45.59	+02 24 59.6	5855	4.16	-2.19	-2.19				-2.19
BD+02_3375	J.Melendez+,AAP, 515, L3, 2010	17 39 45.59	+02 24 59.6	6163	4.13	-2.24	-2.24				-2.24
BD+03_740	J.G.Cohen+,ApJ, 778, 56, 2013			6355	4	-2.69	-2.69				
BD+03_740	J.A.Rich+,ApJ, 701, 1519, 2009	05 01 16.53	+04 06 38.3	6110	3.64	-2.89	-2.89				-2.89
BD+03_740	L.Mashonkina+,ApJ, 679, 1549, 2008	05 01 16.53	+04 06 38.3	6340	3.9	-2.65	-2.65			-0.72	-2.65
BD+03_740	I.U.Roederer+,ApJ, 912, 119, 2021			6351	3.97	-2.9	-2.9				-2.93
BD+03_740	G.Israelian+,ApJ, 551, 833, 2001	05 01 16.53	+04 06 38.3	6135	4	-2.93	-2.93				-2.93
BD+03_740	E.Arnone+,AAP, 430, 507, 2005	05 01 16.53	+04 06 38.3	6240	3.7						-2.84
BD+03_740	J.Melendez+,AAP, 515, L3, 2010	05 01 16.53	+04 06 38.3	6419	3.97	-2.71	-2.71				-2.71
BD+03_740	A.M.Boesgaard+,ApJ, 633, L125, 2005	05 01 16.53	+04 06 38.3	6227		-2.81	-2.81				-2.8
BD+03_740	I.U.Roederer+,ApJ, 860, 125, 2018	05 01 16.62	+04 06 37.02	6351	3.97	-2.9	-2.9				-2.89
BD+03_740	J.G.Cohen+,AJ, 124, 470, 2002	05 01 16.53	+04 06 38.3	6355	4	-2.69	-2.69				
BD+03_740	A.M.Boesgaard+,AJ, 117, 492, 1999	05 01 16.53	+04 06 38.3	6227	3.75	-2.81	-2.81				-2.64
BD+03_740	R.Smiljanic+,AAP, 646, A70, 2021	05 01 16.63	+04 06 37.08	6400	4	-2.72	-2.72				-2.72
BD+03_740	E.Carretta+,AJ, 124, 481, 2002	05 01 16.53	+04 06 38.3	6355	4	-2.7	-2.7			-0.77	-2.68
BD+03_740	J.G.Cohen+,ApJ, 612, 1107, 2004	05 01 16.53	+04 06 38.3	6355	4						
BD+03_740	J.P.Fulbright+,AJ, 120, 1841, 2000	05 01 16.53	+04 06 38.3	6075	3.8	-2.7	-2.7			-0.57	-2.82
BD+03_740	C.Charbonnel+,AAP, 442, 961, 2005	05 01 16.53	+04 06 38.3	6346	4	-2.77	-2.77				-2.77
BD+03_740	D.K.Lai+,ApJ, 681, 1524, 2008	05 01 16.53	+04 06 38.3	6557	4.28	-2.75	-2.75	0.68	<0.67	-0.42	-2.71
BD+03_740	M.Asplund+,ApJ, 644, 229, 2006	05 01 16.53	+04 06 38.3	6266	4.04	-2.65	-2.65				-2.65
BD+06_648	W.Aoki+,PASJ, 60, L7, 2008			4400	0.9	-2.1	-2.1	-0.03	0.12		-2.14
BD+06_648	J.Melendez+,ApJ, 556, 858, 2001										
BD+06_648	D.L.Burris+,ApJ, 544, 302, 2000			4500	1.1	-2	-2		0.11	-0.07	-1.93
BD+06_648	M.Aoki+,ApJ, 837, 8, 2017			4400	0.9	-2.11	-2.11		0.21	0.15	-2.11
BD+10_2495	M.N.Ishigaki+,ApJ, 753, 64, 2012	12 59 19.90	+09 14 36.0	4973	2.25	-2.02	-2.02				-2.02
BD+10_2495	M.Ishigaki+,PASJ, 62, 143, 2010	12 59 19.90	+09 14 36.0	4819	1.92	-2.17	-2.17			-0.31	-2.17
BD+10_2495	I.U.Roederer+,ApJ, 711, 573, 2010	12 59 19.90	+09 14 36.0	4710	1.3	-2.45	-2.45	-0.2	0.1	-0.25	-2.31
BD+10_2495	I.U.Roederer+,AJ, 147, 136, 2014	12 59 19.90	+09 14 36.0	4890	1.85	-2.14	-2.14	-0.2	0.3	-0.04	-2.16
BD+10_2495	L.Zhang+,ApJ, 706, 1095, 2009	12 59 19.90	+09 14 36.0	4775	1.9	-2.1	-2.1			-0.33	-1.93
BD+10_2495	J.A.Johnson+,ApJ, 579, 616, 2002	12 59 19.90	+09 14 36.0							-0.25	-1.9
BD+10_2495	C.Charbonnel+,AAP, 442, 961, 2005	12 59 19.90	+09 14 36.0	4981	3	-1.83	-1.83				-1.83
BD+10_2495	J.A.Johnson+,ApJ, 554, 888, 2001	12 59 19.90	+09 14 36.0	4900	1.9	-2	-2		0.07	-0.24	-1.91
BD+10_2495	B.W.Carney+,AJ, 125, 293, 2003	12 59 19.90	+09 14 36.0	4920	2.2	-2.14	-2.14				-2.14
BD+10_2495	J.A.Johnson+,ApJS, 139, 219, 2002	12 59 19.90	+09 14 36.0	4900	1.9	-2	-2		0.22	-0.09	-2.06
BD+11_4725	J.P.Fulbright+,AJ, 120, 1841, 2000	22 05 40.70	+12 22 36.0	5300	4.3	-0.8	-0.8			-0.17	-0.95
BD+11_4725	R.G.Gratton+,AAP, 404, 187, 2003	22 05 40.70	+12 22 36.0	5461	4.69	-0.8	-0.8				-0.85
BD+11_4725	B.E.Reddy+,MNRAS, 367, 1329, 2006	22 05 40.70	+12 22 36.0	5362	4.69	-0.79	-0.79	0.61		-0.03	-0.84
BD+11_4725	R.Smiljanic+,AAP, 499, 103, 2009	22 05 40.70	+12 22 36.0	5300	4.68	-0.8	-0.8				-0.8
BD+17_3248	M.Spite+,AAP, 430, 655, 2005	17 28 14.47	+17 30 35.9	5250	1.4	-2.07	-2.07	-0.28			-2.07
BD+17_3248	S.M.Andrievsky+,AAP, 509, A88, 2010	17 28 14.47	+17 30 35.9	5250	1.4	-2.07	-2.07				-2.07
BD+17_3248	P.Francois+,AAP, 476, 935, 2007	17 28 14.47	+17 30 35.9	5250	1.4	-2	-2		0.92	0.64	-2.07
BD+17_3248	I.U.Roederer+,ApJ, 747, L8, 2012	17 28 14.47	+17 30 35.9	5200	1.8	-2.08	-2.08				-2.08
BD+17_3248	J.A.Johnson+,ApJ, 579, 616, 2002	17 28 14.47	+17 30 35.9							0.26	-1.93
BD+17_3248	J.A.Johnson+,ApJ, 554, 888, 2001	17 28 14.47	+17 30 35.9	5200	1.8	-1.95	-1.95		0.62	0.27	-1.94
BD+17_3248	J.A.Johnson+,ApJS, 139, 219, 2002	17 28 14.47	+17 30 35.9	5200	1.8	-1.95	-1.95		0.77	0.42	-2.09
BD+17_3248	S.M.Andrievsky+,AAP, 481, 481, 2008	17 28 14.47	+17 30 35.9	5250	1.4	-2.07	-2.07				-2.07
BD+17_3248	S.M.Andrievsky+,AAP, 494, 1083, 2009	17 28 14.47	+17 30 35.9	5250	1.4	-2.07	-2.07			0.64	-2.07
BD+17_3248	R.Cayrel+,AAP, 416, 1117, 2004	17 28 14.47	+17 30 35.9	5250	1.4	-2.07	-2.07	-0.37			-2.04
