# Object	Reference	RA	Decl	Teff	logg	Metallicity	metal	[C/Fe]	[Eu/Fe]	[Ba/Fe]	[Fe/H]
HD19445	T.Mishenina+,MNRAS, 469, 4378, 2017	03 08 25.5884	+26 19 51.400	5830	4					-0.13	-2.16
HD19445	P.E.Nissen+,AAP, 390, 235, 2002	03 08 25.59	+26 19 51.4	5910	4.4	-2.04	-2.04				-2.01
HD19445	I.U.Roederer+,AJ, 147, 136, 2014	03 08 25.59	+26 19 51.4	5820	3.65	-2.4	-2.4	0.28	-0.02	-0.34	-2.29
HD19445	J.P.Fulbright+,AJ, 120, 1841, 2000	03 08 25.59	+26 19 51.4	5825	4.2	-2	-2			-0.21	-2.11
HD19445	G.Israelian+,AAP, 421, 649, 2004			6095	4.45	-2.04	-2.04				-1.87
HD19445	T.Gehren+,AAP, 451, 1065, 2006	03 08 25.59	+26 19 51.4	5985	4.39	-1.96	-1.96				-1.95
HD19445	M.Asplund+,ApJ, 644, 229, 2006	03 08 25.59	+26 19 51.4	5980	4.42	-2.02	-2.02				-2.02
HD194598	K.Jonsell+,AAP, 440, 321, 2005	20 26 11.92	+09 27 00.4	5928	4.23	-1.14	-1.14				-1.08
HD194598	G.Israelian+,ApJ, 507, 805, 1998			5960	4.15	-1.4	-1.4				-1.23
HD194598	P.E.Nissen+,AAP, 469, 319, 2007	20 26 11.92	+09 27 00.4	6020	4.3	-1.15	-1.15				-1.15
HD194598	G.Israelian+,ApJ,  557, L43, 2001	20 26 11.92	+09 27 00.4	5960	4.38	-1.06	-1.06				-1.06
HD194598	R.G.Gratton+,AAP, 354, 169, 2000	20 26 11.92	+09 27 00.4	6046	4.31	-1.05	-1.05	0.1			-1.11
HD194598	A.M.Boesgaard+,ApJ, 667, 1196, 2007	20 26 11.92	+09 27 00.4	5875	4.2	-1.23	-1.23				-1.23
HD194598	J.A.Rich+,ApJ, 701, 1519, 2009	20 26 11.92	+09 27 00.4	5911	4.32	-1.25	-1.25				-1.25
HD194598	C.J.Akerman+,AAP, 414, 931, 2004	20 26 11.92	+09 27 00.4	5906	4.25	-1.17	-1.17	0.22			-1.17
HD194598	G.Bihain+,AAP, 423, 777, 2004	20 26 11.92	+09 27 00.4	6029	4.28	-1.2	-1.2				-1.03
HD194598	T.V.Mishenina+,AAP, 370, 951, 2001	20 26 11.92	+09 27 00.4	5890	4	-1.16	-1.16			-0.11	-1.11
HD194598	I.U.Roederer+,ApJ, 724, 975, 2010	20 26 11.92	+09 27 00.4								-1.08
HD194598	R.Smiljanic+,AAP, 499, 103, 2009	20 26 11.92	+09 27 00.4	5875	4.26	-1.1	-1.1				-1.1
HD194598	A.M.Amarsi+,AAP, 622, L4, 2019	20 26 11.92	+09 27 00.43	5984	4.34	-1.06	-1.06	0.08			-1.06
HD194598	J.Melendez+,AAP, 515, L3, 2010	20 26 11.92	+09 27 00.4	6118	4.37	-1.13	-1.13				-1.13
HD194598	P.E.Nissen+,AAP, 415, 993, 2004	20 26 11.92	+09 27 00.4	5906	4.25	-1.17	-1.17				-1.17
HD194598	P.E.Nissen+,AAP, 511, L10, 2010	20 26 11.92	+09 27 00.4	5942	4.33	-1.09	-1.09				-1.08
HD194598	A.M.Boesgaard+,ApJ, 743, 140, 2011			5875	4.2	-1.23	-1.23				-1.23
HD194598	J.R.Shi+,AAP, 465, 587, 2007	20 26 11.92	+09 27 00.4	6040	4.3	-1.16	-1.16				-1.15
HD194598	R.G.Gratton+,AAP, 404, 187, 2003	20 26 11.92	+09 27 00.4	6023	4.31	-1.12	-1.12				-1.18
HD194598	J.Melendez+,ApJ, 642, 1082, 2006	20 26 11.92	+09 27 00.4	5970	4.31	-0.9	-0.9				-1.18
HD194598	A.M.Boesgaard+,AJ, 117, 492, 1999	20 26 11.92	+09 27 00.4	6042	4.36	-1.16	-1.16				-0.99
HD194598	Y.Takeda+,PASJ, 63, S537, 2011	20 26 11.92	+09 27 00.4	6020	4.3	-1.15	-1.15				-1.15
HD194598	T.V.Mishenina+,AAP, 396, 189, 2002	20 26 11.92	+09 27 00.4								-1.16
HD194598	A.Ford+,AAP, 393, 617, 2002	20 26 11.92	+09 27 00.4	6017	4.15	-1.37	-1.37				-1.37
HD194598	J.P.Fulbright+,AJ, 120, 1841, 2000	20 26 11.92	+09 27 00.4	5875	4.2	-1.1	-1.1			-0.03	-1.21
HD194598	G.Israelian+,AAP, 421, 649, 2004			6029	4.28	-1.2	-1.2				-1.03
HD194598	D.Fabbian+,AAP, 500, 1143, 2009	20 26 11.92	+09 27 00.4	6020	4.3	-1.15	-1.15	0.21			-1.2
HD194598	J.Simmerer+,ApJ, 617, 1091, 2004	20 26 11.92	+09 27 00.4	6044	4.19	-1.08	-1.08	0.13	0.28		-1.08
HD194598	H.L.Yan+,AAP, 585, 102, 2016	20 26 11.92	+09 27 00.4	5926	4.32	-1.08	-1.08				-1.08
HD194598	T.Gehren+,AAP, 451, 1065, 2006	20 26 11.92	+09 27 00.4	5980	4.27	-1.16	-1.16				-1.15
HD194598	P. E. Nissen+,AAP, 530, A15, 2011	20 26 11.92	+09 27 00.4	5942	4.33	-1.09	-1.09			-0.25	-1.09
HD195019	Y.Takeda+,PASJ, 57, 65, 2005	20 28 18.64	+18 46 10.2	5768	4.11	0.04	0.04	-0.13			0.04
HD195019	Y.Takeda+,PASJ, 57, 45, 2005	20 28 18.64	+18 46 10.2	5768	4.11	0.04	0.04				0.09
HD195019	Y.Takeda+,PASJ, 59, 335, 2007	20 28 18.64	+18 46 10.2	5768	4.11	0.04	0.04				0.04
HD196755	Y.Takeda+,PASJ, 57, 65, 2005	20 39 07.78	+10 05 10.3	5750	3.83	0.09	0.09	0.08			0.09
HD196755	Y.Takeda+,PASJ, 63, S537, 2011	20 39 07.78	+10 05 10.3	5750	3.83	0.09	0.09				0.09
HD196755	Y.Takeda+,PASJ, 57, 45, 2005	20 39 07.78	+10 05 10.3	5750	3.83	0.09	0.09				0.13
HD196755	Y.Takeda+,PASJ, 59, 335, 2007	20 39 07.78	+10 05 10.3	5750	3.83	0.09	0.09				0.09
HD196892	K.Jonsell+,AAP, 440, 321, 2005	20 40 49.38	-18 47 33.3	5912	4.11	-1.09	-1.09			-0.01	-1.08
HD196892	I.U.Roederer+,AJ, 147, 136, 2014	20 40 49.38	-18 47 33.3	5670	3.85	-1.24	-1.24	-0.11	0.28	0.24	-1.38
HD196892	M.N.Ishigaki+,ApJ, 753, 64, 2012	20 40 49.38	-18 47 33.3	6066	4.41	-1	-1				-1
HD196892	R.G.Gratton+,AAP, 354, 169, 2000	20 40 49.38	-18 47 33.3	5982	4.14	-1	-1	0.02			-1.05
HD196892	M.N.Ishigaki+,ApJ, 771, 67, 2013	20 40 49.38	-18 47 33.3	6066	4.41	-0.99	-0.99		0.45	0.18	-0.99
HD196892	R.G.Gratton+,AAP, 404, 187, 2003	20 40 49.38	-18 47 33.3	5893	4.12	-1.12	-1.12				-1.17
HD196944	K.Jonsell+,AAP, 440, 321, 2005	20 40 46.09	-06 47 50.7	5250	1.7	-2.23	-2.23			1.09	-2.34
HD196944	E.A.DenHartog+,ApJS, 254, 5, 2021			5170	1.6	-2.41	-2.41				-2.41
HD196944	D.Karinkuzhi+,AAP, 645, 61, 2021	20 40 46.08	-06 47 50.64	5168	1.28	-2.5	-2.5	1.22	0.58	1.02	-2.5
HD196944	I.U.Roederer+,ApJ, 675, 723, 2008	20 40 46.09	-06 47 50.7	5170	1.8	-2.46	-2.46				-2.44
HD196944	T.Masseron+,AAP, 509, A93, 2010	20 40 46.09	-06 47 50.7	5250	1.7	-2.19	-2.19	1.31		1.26	-2.24
HD196944	I.U.Roederer+,ApJ, 912, 119, 2021			5170	1.6	-2.41	-2.41				-2.41
HD196944	I.U.Roederer+,AJ, 147, 136, 2014	20 40 46.09	-06 47 50.7	5310	1.75	-2.39	-2.39	1.19	0.12	1.47	-2.39
HD196944	S.VanEck+,AAP, 404, 291, 2003	20 40 46.09	-06 47 50.7	5250	1.7						-2.4
HD196944	W.Aoki+,PASJ, 54, 933, 2002	20 40 46.09	-06 47 50.7	5250	1.8	-2.25	-2.25	1.32		1.05	-2.25
HD196944	W.Aoki+,ApJ, 580, 1149, 2002	20 40 46.09	-06 47 50.7	5250	1.8	-2.25	-2.25		0.2	1.14	-2.25
HD196944	V.Placco+,ApJ, 812, 109, 2015	20 40 46.09	-06 47 50.7	5170	1.6	-2.41	-2.41	1.08	-0.11	1.23	-2.41
HD196944	I.U.Roederer+,ApJ, 902, L24, 2020			5170	1.6	-2.41	-2.41		-0.11	1.23	-2.41
HD197076	Y.Takeda+,PASJ, 57, 65, 2005	20 40 45.14	+19 56 07.9	5805	4.41	-0.08	-0.08	-0.11			-0.08
HD197076	T.Mishenina+,MNRAS, 484, 3846, 2019			5821	4.3	-0.17	-0.17		0.2		-0.17
HD197076	Y.Takeda+,PASJ, 57, 45, 2005	20 40 45.14	+19 56 07.9	5805	4.41	-0.08	-0.08				-0.05
HD197076	T.V.Mishenina+,AAP, 552, A128, 2013	20 40 45.14	+19 56 07.9	5821	4.3	-0.17	-0.17		0.2		-0.17
HD197076	Y.Takeda+,PASJ, 59, 335, 2007	20 40 45.14	+19 56 07.9	5805	4.41	-0.08	-0.08				-0.08
HD197207	B.E.Reddy+,MNRAS, 367, 1329, 2006	20 41 18.26	+30 11 28.6	5664	4.34	0.09	0.09	0.25	0.13	0.05	0.04
HD198269	D.Karinkuzhi+,AAP, 645, 61, 2021	20 48 36.74	+17 50 23.71	4458	0.83	-2.1	-2.1	1.07	0.68	1.22	-2.1
HD198269	T.Masseron+,ApJ, 751, 14, 2012	20 48 36.74	+17 50 23.7	4500	1	-1.84	-1.84	0.91	0.57	1.31	-1.89
HD198269	S.VanEck+,AAP, 404, 291, 2003	20 48 36.74	+17 50 23.7	4800	1.3						-2.2
HD199289	K.Jonsell+,AAP, 440, 321, 2005	20 58 08.50	-48 12 13.0	5800	4.21	-1.1	-1.1			-0.33	-1.05
HD199289	P.E.Nissen+,AAP, 511, L10, 2010	20 58 08.50	-48 12 13.0	5810	4.28	-1.04	-1.04				-1.04
HD199289	R.G.Gratton+,AAP, 354, 169, 2000	20 58 08.50	-48 12 13.0	5890	4.05	-1.02	-1.02	0.08			-1.07
HD199289	R.Smiljanic+,AAP, 499, 103, 2009	20 58 08.50	-48 12 13.0	5894	4.29	-1.03	-1.03				-1.03
HD199289	H.L.Yan+,AAP, 585, 102, 2016	20 58 08.50	-48 12 13.0	5810	4.28	-1.04	-1.04				-1.04
HD199289	K.A.Venn+,AJ, 128, 1177, 2004	20 58 08.50	-48 12 13.0						0.25	-0.3	-1.03
HD199289	J.Melendez+,AAP, 515, L3, 2010	20 58 08.50	-48 12 13.0	5975	4.35	-1.02	-1.02				-1.02
HD199289	P. E. Nissen+,AAP, 530, A15, 2011	20 58 08.50	-48 12 13.0	5810	4.28	-1.04	-1.04			-0.26	-1.04
HD19994	Y.Takeda+,PASJ, 57, 65, 2005	03 12 46.40	-01 11 46.0	6209	4.12	0.26	0.26	0.35			0.26
HD19994	Y.Takeda+,PASJ, 57, 45, 2005	03 12 46.40	-01 11 46.0	6209	4.12	0.26	0.26				0.4
HD19994	Y.Takeda+,PASJ, 59, 335, 2007	03 12 46.40	-01 11 46.0	6209	4.12	0.26	0.26				0.26
HD199960	Y.Takeda+,PASJ, 57, 65, 2005	21 00 33.80	-04 43 49.0	5924	4.26	0.28	0.28	0.02			0.28
HD199960	T.Mishenina+,MNRAS, 484, 3846, 2019			5878	4.2	0.23	0.23				0.23
HD199960	Y.Takeda+,PASJ, 57, 45, 2005	21 00 33.80	-04 43 49.0	5924	4.26	0.28	0.28				0.34
HD199960	T.V.Mishenina+,AAP, 552, A128, 2013	21 00 33.80	-04 43 49.0	5878	4.2	0.23	0.23				0.23
HD199960	Y.Takeda+,PASJ, 59, 335, 2007	21 00 33.80	-04 43 49.0	5924	4.26	0.28	0.28				0.28
HD20	P.S.Barklem+,AAP, 439, 129, 2005	00 05 15.30	-27 16 18.0	5445	2.39	-1.58	-1.58	-0.38	0.79	0.26	-1.58
HD20	L.Zhang+,AAP, 528, A92, 2011	00 05 15.30	-27 16 18.0					-0.34			-1.58
HD20	R.G.Gratton+,AAP, 354, 169, 2000	00 05 15.30	-27 16 18.0	5359	2.52	-1.6	-1.6				-1.65
HD20	J.P.Fulbright+,ApJ, 595, 1154, 2003	00 05 15.30	-27 16 18.0	5375	2.41	-1.4	-1.4				-1.41
HD20	B.W.Carney+,AJ, 125, 293, 2003	00 05 15.30	-27 16 18.0	5350	2.5	-1.66	-1.66				-1.66
HD20	N.Christlieb+,AAP, 428, 1027, 2004	00 05 15.30	-27 16 18.0			-1.25	-1.25				
HD20	D.L.Burris+,ApJ, 544, 302, 2000	00 05 15.30	-27 16 18.0	5475	2.8	-1.2	-1.2		0.59	0.36	-1.22
HD20	J.Ren+,AAP, 537, A118, 2012	00 05 15.30	-27 16 18.0	5445	2.39	-1.58	-1.58	-0.38	0.62		-1.41
HD20038	R.G.Gratton+,AAP, 354, 169, 2000	03 10 26.80	-58 49 41.0	5009	2.38	-0.69	-0.69	-0.06			-0.74
HD20039	B.E.Reddy+,MNRAS, 367, 1329, 2006	03 18 38.50	+72 16 30.4	5107	3.56	-0.73	-0.73	0.47	0.38	-0.05	-0.78
HD200654	K.Jonsell+,AAP, 440, 321, 2005	21 06 34.70	-49 57 50.0	5340	2.96	-2.99	-2.99			-0.78	-2.99
HD200654	A.McWilliam+,AJ, 109, 2757, 1995	21 06 34.70	-49 57 50.0	5160	2.55	-2.9	-2.9	0.12		-0.85	-2.65
HD200654	I.U.Roederer+,AJ, 147, 136, 2014	21 06 34.70	-49 57 50.0	5080	2.25	-3.06	-3.06	0.38	<0.08	-1.03	-3.13
HD200654	A.McWilliam+,AJ, 109, 2736, 1995	21 06 34.70	-49 57 50.0								
HD200654	A.E.GarciaPerez+,AAP, 451, 621, 2006	21 06 34.70	-49 57 50.0	5292	2.86	-2.75	-2.75				-2.73
HD200654	A.E.GarciaPerez+,AAP, 447, 299, 2006	21 06 34.70	-49 57 50.0	5292	2.86	-2.73	-2.73				-2.73
HD200790	Y.Takeda+,PASJ, 57, 65, 2005	21 05 26.70	+05 57 30.0	6114	3.95	-0.02	-0.02	0.29			-0.02
HD200790	Y.Takeda+,PASJ, 57, 45, 2005	21 05 26.70	+05 57 30.0	6114	3.95	-0.02	-0.02				0.1
HD200790	Y.Takeda+,PASJ, 59, 335, 2007	21 05 26.70	+05 57 30.0	6114	3.95	-0.02	-0.02				-0.02
HD201626	D.Karinkuzhi+,AAP, 645, 61, 2021	21 09 59.27	+26 36 55.01	5084	2.18	-1.75	-1.75	1.62	0.83	1.57	-1.75
HD201626	S.VanEck+,AAP, 404, 291, 2003	21 09 59.27	+26 36 54.9	5190	2.25						-2.1
HD201626	V.Placco+,ApJ, 812, 109, 2015	21 09 59.27	+26 36 54.9	5175	2.8	-1.51	-1.51	1.48	0.95	1.73	-1.51
HD201891	K.Jonsell+,AAP, 440, 321, 2005	21 11 59.03	+17 43 39.9	5821	4.2	-1.14	-1.14			-0.35	-1.12
HD201891	G.Israelian+,ApJ, 507, 805, 1998			5870	4	-1.2	-1.2				-1.03
HD201891	R.G.Gratton+,AAP, 354, 169, 2000	21 11 59.03	+17 43 39.9	5991	4.3	-1.04	-1.04	0.23			-1.08
HD201891	T.V.Mishenina+,AAP, 552, A128, 2013	21 11 59.03	+17 43 39.9	5850	4.4	-0.96	-0.96				-0.96
HD201891	G.Bihain+,AAP, 423, 777, 2004	21 11 59.03	+17 43 39.9	5916	4.26	-1.05	-1.05				-0.88
HD201891	T.V.Mishenina+,AAP, 370, 951, 2001	21 11 59.03	+17 43 39.9	5850	4.45	-0.99	-0.99			-0.1	-0.99
HD201891	I.U.Roederer+,ApJ, 724, 975, 2010	21 11 59.03	+17 43 39.9								-1.09
HD201891	Y.Q.Chen+,, 141, 491, 2000	21 11 59.03	+17 43 39.9	5827	4.43	-1.04	-1.04			-0.09	-1.04
HD201891	J.Melendez+,AAP, 515, L3, 2010	21 11 59.03	+17 43 39.9	5947	4.31	-1.05	-1.05				-1.05
HD201891	A.M.Besgaard+,ApJ, 641, 1122, 2006	21 11 59.03	+17 43 39.9	5806	4.42	-1.07	-1.07				-1.06
HD201891	A.M.Boesgaard+,ApJ, 743, 140, 2011			5806	4.42	-1.07	-1.07				-1.07
HD201891	J.P.Fulbright+,ApJ, 595, 1154, 2003	21 11 59.03	+17 43 39.9	5875	4.26	-1.1	-1.1				-1.11
HD201891	J.R.Shi+,AAP, 465, 587, 2007	21 11 59.03	+17 43 39.9	5943	4.24	-1.05	-1.05				-1.04
HD201891	R.G.Gratton+,AAP, 404, 187, 2003	21 11 59.03	+17 43 39.9	5917	4.28	-1.08	-1.08				-1.11
HD201891	B.E.Reddy+,MNRAS, 367, 1329, 2006	21 11 59.03	+17 43 39.9	5730	4.34	-1.07	-1.07	0.6	0.41	-0.11	-1.12
HD201891	T.V.Mishenina+,AAP, 396, 189, 2002	21 11 59.03	+17 43 39.9								-0.99
HD201891	Y.Takeda+,PASJ, 63, S537, 2011	21 11 59.03	+17 43 39.9	5900	4.19	-1.1	-1.1				-1.1
HD201891	A.Ford+,AAP, 393, 617, 2002	21 11 59.03	+17 43 39.9	5909	4.18	-1.22	-1.22				-1.22
HD201891	M.Takada-Hidai+,ApJ, 573, 614, 2002	21 11 59.03	+17 43 39.9	5880	4.25	-1	-1				-1.23
HD201891	I.U.Roederer+,AJ, 147, 136, 2014	21 11 59.03	+17 43 39.9	5840	4.1	-1.21	-1.21	0.03	0.16	-0.06	-1.2
HD201891	J.P.Fulbright+,AJ, 120, 1841, 2000	21 11 59.03	+17 43 39.9	5825	4.3	-1	-1		0.21	-0.1	-1.1
HD201891	T.Mishenina+,MNRAS, 484, 3846, 2019			5850	4.4	-0.96	-0.96				-0.96
HD201891	G.Israelian+,AAP, 421, 649, 2004			5916	4.26	-1.05	-1.05				-0.88
HD201891	J.Simmerer+,ApJ, 617, 1091, 2004	21 11 59.03	+17 43 39.9	5909	4.19	-1.09	-1.09	0.23	0.35		-1.09
HD201891	T.Gehren+,AAP, 451, 1065, 2006	21 11 59.03	+17 43 39.9	5900	4.22	-1.07	-1.07				-1.06
HD202020	M.Purandardas+,MNRAS, 486, 3266, 2019	21 13 39.47	-09 37 41.73	5960	4.38	0.04	0.04	0.23	0.11	0.84	0.08
HD204543	W.Aoki+,PASJ, 60, L7, 2008	21 29 28.20	-03 30 55.0	4600	1	-1.9	-1.9	-0.51	0.04		-1.86
HD204543	D.K.Lai+,ApJ, 667, 1185, 2007	21 29 28.20	-03 30 55.0	4570	1.24	-1.98	-1.98	-0.49		0.01	-1.81
HD204543	J.P.Fulbright+,ApJ, 595, 1154, 2003	21 29 28.20	-03 30 55.0	4650	1.56	-1.9	-1.9				-1.9
HD204543	C.J.Hansen+,AAP, 545, A31, 2012	21 29 28.20	-03 30 55.0	4700	0.8	-1.84	-1.84		0.1	0.23	-1.84
HD204543	Y.Takeda+,PASJ, 63, S537, 2011	21 29 28.20	-03 30 55.0	4672	1.49	-1.72	-1.72				-1.72
HD204543	T.V.Mishenina+,AAP, 396, 189, 2002	21 29 28.20	-03 30 55.0								-1.79
HD204543	D.L.Burris+,ApJ, 544, 302, 2000	21 29 28.20	-03 30 55.0	4700	1.7	-1.5	-1.5		0.28	0.14	-1.67
HD204543	T.V.Mishenina+,AAP, 370, 951, 2001	21 29 28.20	-03 30 55.0	4620	1.1	-1.79	-1.79		0.31	0.16	-1.79
HD204543	I.U.Roederer+,ApJ, 698, 1963, 2009	21 29 28.20	-03 30 55.0	4672	1.49	-1.87	-1.87		0.3		-1.87
HD204543	J.Simmerer+,ApJ, 617, 1091, 2004	21 29 28.20	-03 30 55.0	4672	1.49	-1.87	-1.87	-0.37	0.37		-1.87
HD20512	J.P.Fulbright+,AJ, 120, 1841, 2000	03 18 27.10	+15 10 38.0	5150	3.4	-0.2	-0.2		0	-0.16	-0.28
HD20512	R.G.Gratton+,AAP, 404, 187, 2003	03 18 27.10	+15 10 38.0	5177	3.65	-0.35	-0.35				-0.41
HD20512	B.E.Reddy+,MNRAS, 367, 1329, 2006	03 18 27.10	+15 10 38.0	5211	3.73	-0.27	-0.27	0.22	0.23	-0.08	-0.32
HD20630	Y.Takeda+,PASJ, 57, 65, 2005	03 19 21.70	+03 22 12.7	5769	4.54	0.11	0.11	0.07			0.11
HD20630	T.Mishenina+,MNRAS, 484, 3846, 2019			5709	4.5	0.08	0.08				0.08
HD20630	Y.Takeda+,PASJ, 57, 45, 2005	03 19 21.70	+03 22 12.7	5769	4.54	0.11	0.11				0.21
HD20630	T.V.Mishenina+,AAP, 552, A128, 2013	03 19 21.70	+03 22 12.7	5709	4.5	0.08	0.08				0.08
HD20630	Y.Takeda+,PASJ, 59, 335, 2007	03 19 21.70	+03 22 12.7	5769	4.54	0.11	0.11				0.11
HD20630	T.V.Mishenina+,AAP, 547, A106, 2012	03 19 21.70	+03 22 12.7	5709	4.5	0.08	0.08				0.08
HD206739	W.Aoki+,PASJ, 60, L7, 2008	21 44 23.90	-11 46 23.0	4600	1.5	-1.6	-1.6	-0.13	0.4		-1.64
HD206739	J.P.Fulbright+,ApJ, 595, 1154, 2003	21 44 23.90	-11 46 23.0	4600	1.9	-1.6	-1.6				-1.68
HD206739	Y.Saito+,PASJ, 61, 549, 2009	21 44 23.90	-11 46 23.0	4675	1.88	-1.58	-1.58				-1.5
HD206739	J.Melendez+,ApJ, 556, 858, 2001	21 44 23.90	-11 46 23.0	4680	1.5	-1.55	-1.55	-0.38			-1.55
HD206739	D.L.Burris+,ApJ, 544, 302, 2000	21 44 23.90	-11 46 23.0	4675	1.7	-1.7	-1.7		0.17	-0.17	-1.41
HD206739	I.U.Roederer+,ApJ, 724, 975, 2010	21 44 23.90	-11 46 23.0								-1.72
HD206739	J.Simmerer+,ApJ, 617, 1091, 2004	21 44 23.90	-11 46 23.0	4647	1.78	-1.72	-1.72	-0.02	0.58		-1.72
HD206739	B.W.Carney+,AJ, 125, 293, 2003	21 44 23.90	-11 46 23.0	4620	1.8	-1.57	-1.57				-1.57
HD206983	D.Karinkuzhi+,AAP, 645, 61, 2021	21 46 09.34	-15 14 39.77	4200	0.6	-1	-1	0.42	0.48	0.72	-1
HD206983	T.Masseron+,AAP, 509, A93, 2010	21 46 09.34	-15 14 39.8	4200	0.6	-0.99	-0.99	0.51		0.96	-1.04
HD207585	T.Masseron+,AAP, 509, A93, 2010	21 50 34.71	-24 11 11.7	5800	4	-0.2	-0.2	0.52		1.27	-0.25
HD207978	M.Takada-Hidai+,ApJ, 573, 614, 2002	21 52 29.90	+28 47 37.0	6400	4.03	-0.55	-0.55				-0.72
HD207978	J.P.Fulbright+,AJ, 120, 1841, 2000	21 52 29.90	+28 47 37.0	6275	3.9	-0.5	-0.5			0.21	-0.61
HD207978	R.G.Gratton+,AAP, 404, 187, 2003	21 52 29.90	+28 47 37.0	6418	3.96	-0.55	-0.55				-0.6
HD207978	Y.Takeda+,PASJ, 57, 65, 2005	21 52 29.90	+28 47 37.0	6471	4.08	-0.49	-0.49	0.29			-0.49
HD207978	Y.Saito+,PASJ, 61, 549, 2009	21 52 29.90	+28 47 37.0	6300	3.97	-0.55	-0.55				-0.61
HD207978	R.Smiljanic+,AAP, 499, 103, 2009	21 52 29.90	+28 47 37.0	6275	3.87	-0.5	-0.5				-0.5
HD207978	Y.Takeda+,PASJ, 57, 45, 2005	21 52 29.90	+28 47 37.0	6471	4.08	-0.49	-0.49				-0.44
HD207978	Y.Takeda+,PASJ, 59, 335, 2007	21 52 29.90	+28 47 37.0	6471	4.08	-0.49	-0.49				-0.49
HD209621	D.Karinkuzhi+,AAP, 645, 61, 2021	22 04 25.14	+21 03 09.00	4740	1.75	-2	-2	1.57	1.78	1.82	-2
HD21019	Y.Takeda+,PASJ, 57, 65, 2005	03 23 17.70	-07 47 38.7	5388	3.67	-0.5	-0.5	0.14			-0.5
HD21019	Y.Takeda+,PASJ, 57, 45, 2005	03 23 17.70	-07 47 38.7	5388	3.67	-0.5	-0.5				-0.41
HD21019	Y.Takeda+,PASJ, 59, 335, 2007	03 23 17.70	-07 47 38.7	5388	3.67	-0.5	-0.5				-0.5
HD210277	Y.Takeda+,PASJ, 57, 65, 2005	22 09 29.87	-07 32 55.2	5567	4.44	0.25	0.25	-0.09			0.25
HD210277	Y.Takeda+,PASJ, 57, 45, 2005	22 09 29.87	-07 32 55.2	5567	4.44	0.25	0.25				0.61
HD210277	Y.Takeda+,PASJ, 59, 335, 2007	22 09 29.87	-07 32 55.2	5567	4.44	0.25	0.25				0.25
HD210295	A.Alves-Brito+,AAP, 513, A35, 2010	22 09 41.44	-13 36 19.5	4738	1.88	-1.31	-1.31				-1.31
HD210295	M.N.Ishigaki+,ApJ, 753, 64, 2012	22 09 41.44	-13 36 19.5	4763	2.19	-1.25	-1.25				-1.25
HD210295	J.P.Fulbright+,AJ, 120, 1841, 2000	22 09 41.44	-13 36 19.5	4800	2.2	-1.2	-1.2		0.36	-0.06	-1.32
HD210295	M.N.Ishigaki+,ApJ, 771, 67, 2013	22 09 41.44	-13 36 19.5	4763	2.19	-1.23	-1.23		0.27	0.03	-1.23
HD210295	J.P.Fulbright+,ApJ, 595, 1154, 2003	22 09 41.44	-13 36 19.5	4700	2.31	-1.3	-1.3				-1.42
HD210295	I.U.Roederer+,ApJ, 724, 975, 2010	22 09 41.44	-13 36 19.5								-1.46
HD210295	J.Simmerer+,ApJ, 617, 1091, 2004	22 09 41.44	-13 36 19.5	4750	2.5	-1.46	-1.46	-0.02	0.6		-1.46
HD210855	Y.Takeda+,PASJ, 57, 65, 2005	22 11 48.77	+56 50 21.7	6118	3.57	0.07	0.07	-0.05			0.07
HD210855	Y.Takeda+,PASJ, 57, 45, 2005	22 11 48.77	+56 50 21.7	6119	3.57	0.07	0.07				0.19
HD210855	Y.Takeda+,PASJ, 59, 335, 2007	22 11 48.77	+56 50 21.7	6119	3.57	0.07	0.07				0.07
HD211173	T.Masseron+,AAP, 509, A93, 2010	22 15 57.01	-31 51 38.5	4800	2.5	-0.12	-0.12	-0.06		0.39	-0.17
HD211998	M.Takada-Hidai+,ApJ, 573, 614, 2002	22 24 36.88	-72 15 19.5	5270	3.43	-1.55	-1.55				-1.63
HD211998	K.Jonsell+,AAP, 440, 321, 2005	22 24 36.88	-72 15 19.5	5255	3.44	-1.49	-1.49			-0.34	-1.44
HD211998	G.Israelian+,ApJ, 507, 805, 1998			5280	3	-1.5	-1.5				-1.33
HD211998	R.G.Gratton+,AAP, 354, 169, 2000	22 24 36.88	-72 15 19.5	5381	3.43	-1.35	-1.35	0.06			-1.39
HD211998	R.G.Gratton+,AAP, 404, 187, 2003	22 24 36.88	-72 15 19.5	5211	3.36	-1.53	-1.53				-1.57
HD211998	G.Israelian+,AAP, 421, 649, 2004			5282	3.28	-1.48	-1.48				-1.31
HD211998	G.Bihain+,AAP, 423, 777, 2004	22 24 36.88	-72 15 19.5	5282	3.28	-1.48	-1.48				-1.31
HD211998	R.C.Peterson+,ApJ, 914, L22, 2021			5300	3.3	-1.6	-1.6		0.2	-0.03	-1.6
HD212029	B.E.Reddy+,MNRAS, 367, 1329, 2006	22 20 23.85	+46 25 05.7	5729	4.55	-0.93	-0.93	0.65	0.54	0.04	-0.98
HD213467	K.Jonsell+,AAP, 440, 321, 2005	22 32 07.90	-31 10 24.9	5099	2.92	-1.43	-1.43			-0.08	-1.37
HD213467	M.N.Ishigaki+,ApJ, 753, 64, 2012	22 32 07.90	-31 10 24.9	5034	2.78	-1.44	-1.44				-1.44
