# object_id,reference,teff,logg,[Fe/H],[C/Fe]_1D,[C/Fe]_3D 
HD157214,B.E.Reddy+_MNRAS_367_1329_2006,5605,4.49,-0.46,0.53,0.47
HD15798,Y.Takeda+_PASJ_57_65_2005,6307,3.70,-0.26,-0.07,-0.11
HD158226,B.E.Reddy+_MNRAS_367_1329_2006,5709,4.22,-0.56,0.40,0.33
HD158809,B.E.Reddy+_MNRAS_367_1329_2006,5414,3.81,-0.75,0.53,0.43
HD159001,B.E.Reddy+_MNRAS_367_1329_2006,5521,4.17,-0.44,0.47,0.41
HD159062,B.E.Reddy+_MNRAS_367_1329_2006,5300,4.61,-0.48,0.48,0.42
HD159482,B.E.Reddy+_MNRAS_367_1329_2006,5630,4.58,-0.75,0.62,0.52
HD16031,I.U.Roederer+_AJ_147_136_2014,5870,3.75,-2.01,0.03,-0.22
HD160617,J.A.Johnson+_ApJ_658_1203_2007,5882,3.69,-1.67,-0.49,-0.70
HD160617,R.G.Gratton+_AAP_354_169_2000,5999,3.74,-1.81,0.05,-0.17
HD160617,C.J.Akerman+_AAP_414_931_2004,5931,3.77,-1.79,0.10,-0.12
HD160617,D.Fabbian+_AAP_500_1143_2009,6047,3.84,-1.80,0.08,-0.14
HD160617,A.M.Amarsi+_AAP_622_L4_2019,6005,3.90,-1.70,0.01,-0.20
HD160693,B.E.Reddy+_MNRAS_367_1329_2006,5648,4.48,-0.59,0.52,0.44
HD161848,B.E.Reddy+_MNRAS_367_1329_2006,5142,4.63,-0.35,0.50,0.45
HD162756,B.E.Reddy+_MNRAS_367_1329_2006,5727,3.97,-0.26,0.25,0.21
HD163799,B.E.Reddy+_MNRAS_367_1329_2006,5680,4.01,-0.86,0.54,0.43
HD163810,D.K.Lai+_ApJ_667_1185_2007,5392,4.73,-1.14,-0.54,-0.68
HD163989,Y.Takeda+_PASJ_57_65_2005,6260,3.95,-0.03,0.29,0.28
HD165908,Y.Takeda+_PASJ_57_65_2005,6183,4.35,-0.46,0.38,0.32
HD16609,B.E.Reddy+_MNRAS_367_1329_2006,6151,4.24,-0.21,0.21,0.18
HD167677,B.E.Reddy+_MNRAS_367_1329_2006,5492,4.55,-0.25,0.18,0.14
HD168214,T.Masseron+_AAP_509_A93_2010,5200,3.50,-0.03,0.10,0.17
HD171009,B.E.Reddy+_MNRAS_367_1329_2006,5663,4.10,-0.55,0.55,0.48
HD175305,R.G.Gratton+_AAP_354_169_2000,5138,2.85,-1.35,-0.09,-0.22
HD175606,I.U.Roederer+_AJ_147_136_2014,5920,3.70,-2.39,0.24,-0.05
HD176021,M.Purandardas+__41_36_2020,5900,3.95,-0.62,0.52,0.44
HD176021,M.Purandardas+_MNRAS_486_3266_2019,5900,3.95,-0.62,0.52,0.44
HD17820,B.E.Reddy+_MNRAS_367_1329_2006,5669,4.19,-0.75,0.49,0.39
HD178496,B.E.Reddy+_MNRAS_367_1329_2006,5630,4.35,-0.32,0.36,0.31
HD179626,B.E.Reddy+_MNRAS_367_1329_2006,5545,3.68,-1.17,0.79,0.69
HD179626,C.J.Akerman+_AAP_414_931_2004,5699,3.92,-1.14,0.33,0.19
HD179626,D.Fabbian+_AAP_500_1143_2009,5881,4.02,-1.17,0.28,0.13
HD179626,A.M.Amarsi+_AAP_622_L4_2019,5893,4.12,-1.01,0.11,-0.02
HD181096,Y.Takeda+_PASJ_57_65_2005,6303,3.93,-0.20,0.01,-0.02
HD181743,C.J.Akerman+_AAP_414_931_2004,5863,4.32,-1.93,0.32,0.08
HD181743,D.Fabbian+_AAP_500_1143_2009,6044,4.39,-1.92,0.25,0.01
HD181743,A.M.Amarsi+_AAP_622_L4_2019,5971,4.42,-1.80,0.17,-0.05
HD184266,J.Simmerer+_ApJ_617_1091_2004,6000,2.74,-1.43,-0.37,-0.51
HD185144,Y.Takeda+_PASJ_57_65_2005,5318,4.59,-0.15,-0.32,-0.34
HD188031,D.Fabbian+_AAP_500_1143_2009,6234,4.16,-1.77,0.18,-0.04
HD188031,C.J.Akerman+_AAP_414_931_2004,6054,4.03,-1.79,0.23,0.01
HD188031,A.M.Amarsi+_AAP_622_L4_2019,6192,4.21,-1.65,0.08,-0.12
HD188326,B.E.Reddy+_MNRAS_367_1329_2006,5259,3.81,-0.23,0.51,0.48
HD188510,I.U.Roederer+_AJ_147_136_2014,5210,4.10,-1.88,-0.36,-0.59
HD188510,J.Simmerer+_ApJ_617_1091_2004,5564,4.51,-1.32,0.08,-0.08
HD18907,B.E.Reddy+_MNRAS_367_1329_2006,5075,3.72,-0.70,0.47,0.44
HD190287,R.G.Gratton+_AAP_354_169_2000,5206,3.21,-1.34,-0.08,-0.21
HD19034,B.E.Reddy+_MNRAS_367_1329_2006,5457,4.61,-0.54,0.46,0.39
HD191069,B.E.Reddy+_MNRAS_367_1329_2006,5580,4.20,-0.17,0.31,0.28
HD192718,B.E.Reddy+_MNRAS_367_1329_2006,5732,4.48,-0.59,0.49,0.41
HD193664,Y.Takeda+_PASJ_57_65_2005,5932,4.54,-0.06,-0.06,-0.07
HD193901,R.G.Gratton+_AAP_354_169_2000,5823,4.58,-0.96,-0.18,-0.30
HD193901,C.J.Akerman+_AAP_414_931_2004,5672,4.38,-1.12,0.10,-0.04
HD193901,A.M.Amarsi+_AAP_622_L4_2019,5713,4.43,-1.03,-0.01,-0.14
HD193901,I.U.Roederer+_AJ_147_136_2014,5580,4.05,-1.29,-0.29,-0.45
HD193901,J.Simmerer+_ApJ_617_1091_2004,5750,4.46,-1.08,-0.02,-0.16
HD193901,D.Fabbian+_AAP_500_1143_2009,5699,4.42,-1.15,0.13,-0.01
HD19445,R.G.Gratton+_AAP_354_169_2000,6047,4.51,-2.01,0.09,-0.16
HD19445,I.U.Roederer+_AJ_147_136_2014,5820,3.65,-2.29,0.28,0.00
HD194598,R.G.Gratton+_AAP_354_169_2000,6046,4.31,-1.11,0.10,-0.04
HD194598,C.J.Akerman+_AAP_414_931_2004,5906,4.25,-1.17,0.22,0.07
HD194598,A.M.Amarsi+_AAP_622_L4_2019,5984,4.34,-1.06,0.08,-0.05
HD194598,D.Fabbian+_AAP_500_1143_2009,6020,4.30,-1.20,0.21,0.06
HD194598,J.Simmerer+_ApJ_617_1091_2004,6044,4.19,-1.08,0.13,-0.01
HD196892,I.U.Roederer+_AJ_147_136_2014,5670,3.85,-1.38,-0.11,-0.28
HD196892,R.G.Gratton+_AAP_354_169_2000,5982,4.14,-1.05,0.02,-0.11
HD197076,Y.Takeda+_PASJ_57_65_2005,5805,4.41,-0.08,-0.11,-0.13
HD199289,R.G.Gratton+_AAP_354_169_2000,5890,4.05,-1.07,0.08,-0.05
HD20039,B.E.Reddy+_MNRAS_367_1329_2006,5107,3.56,-0.78,0.47,0.43
HD200790,Y.Takeda+_PASJ_57_65_2005,6114,3.95,-0.02,0.29,0.28
HD201626,V.Placco+_ApJ_812_109_2015,5175,2.80,-1.51,1.48,1.33
HD201891,R.G.Gratton+_AAP_354_169_2000,5991,4.30,-1.08,0.23,0.09
HD201891,B.E.Reddy+_MNRAS_367_1329_2006,5730,4.34,-1.12,0.60,0.46
HD201891,I.U.Roederer+_AJ_147_136_2014,5840,4.10,-1.20,0.03,-0.12
HD201891,J.Simmerer+_ApJ_617_1091_2004,5909,4.19,-1.09,0.23,0.09
HD20512,B.E.Reddy+_MNRAS_367_1329_2006,5211,3.73,-0.32,0.22,0.25
HD207585,T.Masseron+_AAP_509_A93_2010,5800,4.00,-0.25,0.52,0.48
HD207978,Y.Takeda+_PASJ_57_65_2005,6471,4.08,-0.49,0.29,0.22
HD21019,Y.Takeda+_PASJ_57_65_2005,5388,3.67,-0.50,0.14,0.14
HD211998,R.G.Gratton+_AAP_354_169_2000,5381,3.43,-1.39,0.06,-0.08
HD212029,B.E.Reddy+_MNRAS_367_1329_2006,5729,4.55,-0.98,0.65,0.53
HD213467,R.G.Gratton+_AAP_354_169_2000,5215,2.85,-1.45,-0.08,-0.23
HD214059,B.E.Reddy+_MNRAS_367_1329_2006,5471,3.88,-0.50,0.57,0.50
HD215648,Y.Takeda+_PASJ_57_65_2005,6221,3.94,-0.20,0.07,0.04
HD215801,D.Fabbian+_AAP_500_1143_2009,6071,3.83,-2.33,0.22,-0.07
HD215801,C.J.Akerman+_AAP_414_931_2004,6005,3.81,-2.29,0.20,-0.08
HD215801,A.M.Amarsi+_AAP_622_L4_2019,6054,3.85,-2.22,0.11,-0.16
HD216385,Y.Takeda+_PASJ_57_65_2005,6229,3.87,-0.19,0.01,-0.02
HD217231,B.E.Reddy+_MNRAS_367_1329_2006,5720,4.57,-0.68,0.55,0.46
HD218470,Y.Takeda+_PASJ_57_65_2005,6421,3.91,-0.15,0.11,0.09
HD219617,R.G.Gratton+_AAP_354_169_2000,5974,3.88,-1.53,0.11,-0.08
HD219617,I.U.Roederer+_AJ_147_136_2014,5730,3.70,-1.74,-0.16,-0.35
HD221830,B.E.Reddy+_MNRAS_367_1329_2006,5617,4.15,-0.56,0.51,0.44
HD222368,Y.Takeda+_PASJ_57_65_2005,6279,4.15,-0.03,0.07,0.06
HD222794,B.E.Reddy+_MNRAS_367_1329_2006,5436,3.86,-0.82,0.59,0.49
HD22484,Y.Takeda+_PASJ_57_65_2005,6022,4.06,-0.04,0.16,0.15
HD224930,Y.Takeda+_PASJ_57_65_2005,5680,4.86,-0.52,0.56,0.49
HD225239,Y.Takeda+_PASJ_57_65_2005,5669,3.89,-0.41,0.06,0.00
HD22879,B.E.Reddy+_MNRAS_367_1329_2006,5722,4.50,-0.92,0.45,0.33
HD232996,B.E.Reddy+_MNRAS_367_1329_2006,5604,4.27,-0.40,0.40,0.35
HD233345,B.E.Reddy+_MNRAS_367_1329_2006,5747,4.14,-0.49,0.31,0.24
HD23439A,R.G.Gratton+_AAP_354_169_2000,5140,4.48,-1.04,0.21,0.08
HD240299,B.E.Reddy+_MNRAS_367_1329_2006,5563,4.08,-0.51,0.58,0.51
HD246067,B.E.Reddy+_MNRAS_367_1329_2006,5429,4.67,-0.80,0.63,0.53
HD25329,R.G.Gratton+_AAP_354_169_2000,4840,4.85,-1.73,0.23,0.02
HD25329,J.Melendez+_ApJ_556_858_2001,4750,4.70,-1.75,0.22,0.00
HD25329,J.Simmerer+_ApJ_617_1091_2004,4842,4.66,-1.67,0.53,0.32
HD283807,B.E.Reddy+_MNRAS_367_1329_2006,5610,4.61,-0.68,0.65,0.56
HD285571,B.E.Reddy+_MNRAS_367_1329_2006,5554,4.45,-0.29,0.47,0.43
HD28645,B.E.Reddy+_MNRAS_367_1329_2006,5701,4.48,-0.50,0.58,0.51
HD286891,B.E.Reddy+_MNRAS_367_1329_2006,5532,4.63,-0.70,0.72,0.63
HD29400,B.E.Reddy+_MNRAS_367_1329_2006,5285,4.61,-0.46,0.45,0.39
HD30743,Y.Takeda+_PASJ_57_65_2005,6284,3.85,-0.47,-0.27,-0.33
HD31128,I.U.Roederer+_AJ_147_136_2014,5630,3.60,-1.87,-0.13,-0.34
HD31501,B.E.Reddy+_MNRAS_367_1329_2006,5334,4.60,-0.37,0.42,0.37
HD32923,Y.Takeda+_PASJ_57_65_2005,5655,3.92,-0.20,0.20,0.17
HD33449,B.E.Reddy+_MNRAS_367_1329_2006,5473,4.60,-0.54,0.41,0.34
HD33636,Y.Takeda+_PASJ_57_65_2005,5969,4.53,-0.13,0.39,0.37
HD338529,D.Fabbian+_AAP_500_1143_2009,6373,4.03,-2.31,0.34,0.06
HD338529,A.M.Amarsi+_AAP_622_L4_2019,6351,4.10,-2.19,0.25,-0.02
HD3403,B.E.Reddy+_MNRAS_367_1329_2006,5634,4.15,-0.33,0.50,0.45
HD344779,B.E.Reddy+_MNRAS_367_1329_2006,5697,4.05,-0.34,0.33,0.28
HD3628,B.E.Reddy+_MNRAS_367_1329_2006,5697,4.14,-0.28,0.27,0.23
HD36283,B.E.Reddy+_MNRAS_367_1329_2006,5543,4.56,-0.40,0.37,0.32
HD37739,B.E.Reddy+_MNRAS_367_1329_2006,6180,4.12,-0.39,0.36,0.31
HD3795,B.E.Reddy+_MNRAS_367_1329_2006,5344,3.81,-0.70,0.41,0.32
HD38510,B.E.Reddy+_MNRAS_367_1329_2006,5802,4.16,-0.86,0.40,0.29
HD39587,Y.Takeda+_PASJ_57_65_2005,5947,4.50,-0.02,0.23,0.22
HD39861,B.E.Reddy+_MNRAS_367_1329_2006,5484,3.95,-0.73,0.40,0.31
HD400,Y.Takeda+_PASJ_57_65_2005,6159,4.04,-0.24,0.28,0.24
HD4156,B.E.Reddy+_MNRAS_367_1329_2006,5723,4.50,-0.55,0.48,0.41
HD4307,Y.Takeda+_PASJ_57_65_2005,5648,3.75,-0.29,-0.08,-0.12
HD43318,Y.Takeda+_PASJ_57_65_2005,6194,3.82,-0.19,0.01,-0.02
HD45282,R.G.Gratton+_AAP_354_169_2000,5344,2.99,-1.40,-0.10,-0.24
HD45282,I.U.Roederer+_AJ_147_136_2014,5230,2.90,-1.59,-0.23,-0.40
HD4614,Y.Takeda+_PASJ_57_65_2005,5915,4.46,-0.21,0.03,-0.00
HD4628,Y.Takeda+_PASJ_57_65_2005,5009,4.62,-0.24,-0.30,-0.34
HD46341,B.E.Reddy+_MNRAS_367_1329_2006,5789,4.54,-0.64,0.28,0.20
HD4813,Y.Takeda+_PASJ_57_65_2005,6271,4.47,-0.05,0.07,0.06
HD50264,M.Purandardas+_MNRAS_486_3266_2019,5900,4.60,-0.14,0.21,0.19
HD50554,Y.Takeda+_PASJ_57_65_2005,5987,4.28,-0.03,0.58,0.57
HD51219,B.E.Reddy+_MNRAS_367_1329_2006,5513,4.49,-0.10,0.20,0.18
HD5256,B.E.Reddy+_MNRAS_367_1329_2006,5204,3.80,-0.67,0.57,0.55
HD52711,Y.Takeda+_PASJ_57_65_2005,5886,4.30,-0.11,-0.02,-0.04
HD54351,B.E.Reddy+_MNRAS_367_1329_2006,5710,4.51,-0.20,0.32,0.29
HD55575,Y.Takeda+_PASJ_57_65_2005,5849,4.26,-0.33,0.01,-0.04
HD56451,B.E.Reddy+_MNRAS_367_1329_2006,5710,4.16,-0.35,0.35,0.30
HD59984,Y.Takeda+_PASJ_57_65_2005,5987,3.95,-0.65,0.06,-0.02
HD60319,B.E.Reddy+_MNRAS_367_1329_2006,5843,4.40,-0.82,0.50,0.40
HD61383,B.E.Reddy+_MNRAS_367_1329_2006,5627,4.01,-0.56,0.29,0.22
HD61421,Y.Takeda+_PASJ_57_65_2005,6612,4.00,-0.02,0.36,0.35
HD64090,R.G.Gratton+_AAP_354_169_2000,5530,4.70,-1.55,0.00,-0.19
HD64385,B.E.Reddy+_MNRAS_367_1329_2006,5726,4.15,-0.84,0.62,0.51
HD6500,B.E.Reddy+_MNRAS_367_1329_2006,5547,4.63,-0.79,0.57,0.47
HD6582,J.Melendez+_ApJ_556_858_2001,5408,4.40,-0.83,0.16,0.05
HD6582,B.E.Reddy+_MNRAS_367_1329_2006,5300,4.67,-0.91,0.62,0.50
HD6582,Y.Takeda+_PASJ_57_65_2005,5331,4.54,-0.81,0.07,-0.03
HD65871,B.E.Reddy+_MNRAS_367_1329_2006,5936,4.43,-0.46,0.28,0.22
HD6734,B.E.Reddy+_MNRAS_367_1329_2006,5014,3.45,-0.52,0.50,0.50
HD6755,J.Simmerer+_ApJ_617_1091_2004,5105,2.93,-1.68,-0.02,-0.20
HD67767,Y.Takeda+_PASJ_57_65_2005,5232,3.57,-0.05,-0.19,-0.12
HD67767,B.E.Reddy+_MNRAS_367_1329_2006,5250,3.45,-0.17,0.14,0.19
HD68017,B.E.Reddy+_MNRAS_367_1329_2006,5484,4.58,-0.52,0.54,0.47
HD6920,Y.Takeda+_PASJ_57_65_2005,6028,3.78,-0.01,0.28,0.27
HD693,Y.Takeda+_PASJ_57_65_2005,6169,4.07,-0.34,0.05,0.00
HD69611,B.E.Reddy+_MNRAS_367_1329_2006,5670,4.16,-0.67,0.49,0.40
HD69830,Y.Takeda+_PASJ_57_65_2005,5442,4.54,-0.01,0.00,-0.01
HD69897,Y.Takeda+_PASJ_57_65_2005,6187,4.07,-0.31,0.30,0.26
HD7041,R.G.Gratton+_AAP_354_169_2000,5079,2.79,-0.88,-0.03,-0.09
HD74011,B.E.Reddy+_MNRAS_367_1329_2006,5635,4.03,-0.75,0.55,0.45
HD7424,B.E.Reddy+_MNRAS_367_1329_2006,5547,4.62,-0.64,0.61,0.53
HD7439,Y.Takeda+_PASJ_57_65_2005,6359,3.96,-0.33,0.05,0.00
HD7476,Y.Takeda+_PASJ_57_65_2005,6366,3.73,-0.28,-0.23,-0.27
HD76932,B.E.Reddy+_MNRAS_367_1329_2006,5783,4.09,-0.91,0.52,0.40
HD78558,B.E.Reddy+_MNRAS_367_1329_2006,5654,4.27,-0.56,0.49,0.42
HD7983,B.E.Reddy+_MNRAS_367_1329_2006,5653,4.56,-0.72,0.55,0.46
HD80811,B.E.Reddy+_MNRAS_367_1329_2006,4911,3.29,-0.51,0.48,0.48
HD81809,Y.Takeda+_PASJ_57_65_2005,5620,4.02,-0.34,0.31,0.26
HD82328,Y.Takeda+_PASJ_57_65_2005,6225,3.65,-0.27,0.18,0.14
HD82590,J.Simmerer+_ApJ_617_1091_2004,6005,2.75,-1.32,-0.87,-1.00
HD84038,B.E.Reddy+_MNRAS_367_1329_2006,5610,4.06,-0.52,0.47,0.40
HD84937,D.K.Lai+_ApJ_667_1185_2007,6312,4.51,-1.74,0.06,-0.16
HD84937,A.M.Amarsi+_AAP_622_L4_2019,6340,4.05,-2.07,0.16,-0.09
HD84937,H.Li+_ApJ_852_L31_2018,6263,3.75,-2.31,0.38,0.10
HD84937,M.Spite+_AAP_600_26_2017,6300,4.00,-2.25,0.26,-0.02
HD84937,D.Fabbian+_AAP_500_1143_2009,6357,4.07,-2.16,0.26,-0.01
HD8638,B.E.Reddy+_MNRAS_367_1329_2006,5454,4.59,-0.46,0.39,0.33
HD87080,M.Purandardas+_MNRAS_486_3266_2019,5600,3.74,-0.50,0.09,0.02
HD87140,R.G.Gratton+_AAP_354_169_2000,5157,3.01,-1.77,-0.09,-0.28
HD89125,Y.Takeda+_PASJ_57_65_2005,6085,4.14,-0.39,0.07,0.02
HD89707,B.E.Reddy+_MNRAS_367_1329_2006,5878,4.45,-0.53,0.47,0.40
HD91752,Y.Takeda+_PASJ_57_65_2005,6710,4.37,-0.15,-0.23,-0.25
HD91889,Y.Takeda+_PASJ_57_65_2005,6083,4.08,-0.21,-0.39,-0.42
HD91988,B.E.Reddy+_MNRAS_367_1329_2006,5641,4.03,-0.07,0.26,0.24
HD94028,R.G.Gratton+_AAP_354_169_2000,6061,4.34,-1.44,0.05,-0.13
HD94028,D.K.Lai+_ApJ_667_1185_2007,5925,4.63,-1.19,-0.09,-0.24
HD94028,I.U.Roederer+_ApJ_821_37_2016,5270,4.31,-1.75,-0.06,-0.28
HD94028,I.U.Roederer+_AJ_147_136_2014,5730,3.70,-1.76,-0.10,-0.29
HD95241,Y.Takeda+_PASJ_57_65_2005,5904,3.70,-0.27,-0.13,-0.17
HD96094,B.E.Reddy+_MNRAS_367_1329_2006,5800,4.04,-0.44,0.24,0.18
HD98991,Y.Takeda+_PASJ_57_65_2005,6398,3.38,-0.19,0.01,0.06
HE0007-1832,J.G.Cohen+_ApJ_612_1107_2004,6515,3.80,-2.70,2.56,2.23
HE0007-1832,J.G.Cohen+_ApJ_778_56_2013,6500,3.80,-2.84,2.87,2.52
HE0009-6039,J.G.Cohen+_ApJ_778_56_2013,5250,2.70,-3.31,0.37,-0.11
HE0010-3422,T.Hansen+_ApJ_807_173_2015,5400,3.10,-2.78,1.92,1.57
HE0012-1441,J.G.Cohen+_ApJ_778_56_2013,5750,3.50,-2.57,1.80,1.48
HE0012-1441,J.G.Cohen+_AJ_132_137_2006,5730,3.50,-2.57,1.80,1.48
HE0012-5643,M.Gull+_ApJ_912_52_2021,6240,3.75,-3.03,1.22,0.85
HE0017-4346,J.G.Cohen+_ApJ_778_56_2013,6198,3.80,-3.12,3.11,2.72
HE0018-1349,P.S.Barklem+_AAP_439_129_2005,5719,4.62,-2.27,0.33,0.05
HE0023-4825,P.S.Barklem+_AAP_439_129_2005,5816,3.63,-2.06,0.27,0.03
HE0023-4825,J.Ren+_AAP_537_A118_2012,5816,3.63,-1.89,0.27,0.06
HE0024-2523,S.Lucatello+_AJ_125_875_2003,6625,4.30,-2.77,2.78,2.44
HE0039-0216,M.Gull+_ApJ_912_52_2021,6345,3.95,-2.56,0.94,0.63
HE0043-2845,P.S.Barklem+_AAP_439_129_2005,5517,4.42,-2.91,0.16,-0.20
HE0043-2845,J.Ren+_AAP_537_A118_2012,5517,4.42,-2.74,0.15,-0.19
HE0044-2459,P.S.Barklem+_AAP_439_129_2005,5242,2.92,-3.28,0.41,-0.06
HE0044-4023,P.S.Barklem+_AAP_439_129_2005,5694,3.26,-2.56,0.36,0.04
HE0045-2430,P.S.Barklem+_AAP_439_129_2005,5377,3.25,-1.77,-0.12,-0.31
HE0048-1109,M.Gull+_ApJ_912_52_2021,6265,3.80,-2.35,0.61,0.32
HE0049-5700,P.S.Barklem+_AAP_439_129_2005,5952,4.08,-2.40,0.35,0.06
HE0054-0657,P.S.Barklem+_AAP_439_129_2005,5908,4.40,-2.00,0.25,0.00
HE0054-0657,J.Ren+_AAP_537_A118_2012,5908,4.40,-1.83,0.25,0.02
HE0054-2542,T.Hansen+_ApJ_807_173_2015,5300,2.70,-2.48,2.13,1.83
HE0055-2314,J.G.Cohen+_ApJ_778_56_2013,6290,4.40,-2.70,0.93,0.60
HE0057-4541,C.SiqueiraMello+_AAP_565_A93_2014,5144,2.73,-2.34,0.49,0.21
HE0057-5959,A.Arentsen+_AAP_621_A108_2019,5257,2.70,-4.08,0.86,0.17
HE0058-0244,J.G.Cohen+_ApJ_778_56_2013,5620,3.40,-2.81,2.14,1.78
HE0058-0244,J.G.Cohen+_AJ_132_137_2006,5620,3.40,-2.80,2.13,1.78
HE0100-1622,T.Hansen+_ApJ_807_173_2015,5400,3.00,-2.93,2.75,2.38
HE0102-0633,J.G.Cohen+_ApJ_778_56_2013,6012,3.70,-3.15,1.08,0.68
HE0102-1213,D.Yong+_ApJ_762_26_2013,6100,3.65,-3.28,1.31,0.88
HE0103-0357,J.G.Cohen+_ApJ_778_56_2013,5406,3.20,-3.20,0.73,0.28
HE0105-6141,P.S.Barklem+_AAP_439_129_2005,5218,2.83,-2.55,0.16,-0.16
HE0105-6141,C.SiqueiraMello+_AAP_565_A93_2014,5234,2.91,-2.56,0.23,-0.09
HE0105-6141,J.Ren+_AAP_537_A118_2012,5218,2.83,-2.38,0.16,-0.13
HE0109-3711,P.S.Barklem+_AAP_439_129_2005,6156,3.91,-1.91,0.27,0.03
HE0109-3711,J.Ren+_AAP_537_A118_2012,6156,3.91,-1.74,0.27,0.05
HE0109-4510,T.Hansen+_ApJ_807_173_2015,5600,3.30,-2.96,0.43,0.05
HE0131-2740,P.S.Barklem+_AAP_439_129_2005,5351,3.03,-3.08,0.31,-0.10
HE0131-3953,P.S.Barklem+_AAP_439_129_2005,5928,3.83,-2.68,2.41,2.08
HE0132-2439,J.G.Cohen+_ApJ_672_320_2008,5294,2.75,-3.60,0.83,0.26
HE0134-1519,T.Hansen+_ApJ_807_173_2015,5500,3.20,-3.98,1.00,0.31
HE0134-1519,T.Hansen+_ApJ_787_162_2014,5500,3.20,-3.98,1.00,0.31
HE0143-0441,J.G.Cohen+_ApJ_612_1107_2004,6370,4.40,-2.21,1.67,1.40
HE0143-0441,J.G.Cohen+_ApJ_778_56_2013,6240,3.70,-2.36,2.19,1.90
HE0143-0441,J.G.Cohen+_AJ_132_137_2006,6240,3.70,-2.36,2.19,1.90
HE0143-1135,P.S.Barklem+_AAP_439_129_2005,5629,4.53,-2.13,0.19,-0.07
HE0143-1135,J.Ren+_AAP_537_A118_2012,5629,4.53,-1.96,0.19,-0.05
HE0206-1916,W.Aoki+_ApJ_655_492_2007,5200,2.70,-2.14,2.11,1.86
HE0226+0103,J.G.Cohen+_ApJ_778_56_2013,5250,2.70,-2.86,0.25,-0.11
HE0228-4047,D.Yong+_ApJ_762_26_2013,6515,3.80,-3.75,1.88,1.34
HE0231-4016,P.S.Barklem+_AAP_439_129_2005,5972,3.59,-2.08,1.32,1.08
HE0231-6025,D.Yong+_ApJ_762_26_2013,6437,4.36,-3.10,1.63,1.24
HE0233-0343,T.Hansen+_ApJ_807_173_2015,6100,3.40,-4.68,3.48,2.78
HE0233-0343,T.Hansen+_ApJ_787_162_2014,6100,3.40,-4.68,3.48,2.78
HE0243-3044,T.Hansen+_ApJ_807_173_2015,5400,3.20,-2.58,2.43,2.11
HE0244-4111,P.S.Barklem+_AAP_439_129_2005,5624,3.39,-2.56,0.21,-0.11
HE0251-3216,J.G.Cohen+_ApJ_778_56_2013,5750,3.70,-3.29,2.53,2.10
HE0253-1331,D.Yong+_ApJ_762_26_2013,6474,4.34,-3.01,1.64,1.27
HE0255-0859,J.G.Cohen+_ApJ_778_56_2013,5250,4.80,-2.60,0.03,-0.29
HE0256-1109,P.S.Barklem+_AAP_439_129_2005,5891,4.04,-2.73,0.63,0.30
HE0300-0751,P.S.Barklem+_AAP_439_129_2005,5280,2.97,-2.27,0.06,-0.21
HE0300-0751,J.Ren+_AAP_537_A118_2012,5280,2.97,-2.10,0.06,-0.19
HE0314-1739,D.Yong+_ApJ_762_26_2013,6570,4.25,-2.86,1.49,1.14
HE0317-0554,J.G.Cohen+_ApJ_778_56_2013,5400,3.10,-2.80,0.61,0.26
HE0317-4640,P.S.Barklem+_AAP_439_129_2005,5872,4.10,-2.32,0.18,-0.10
HE0328-1047,P.S.Barklem+_AAP_439_129_2005,5301,3.03,-2.24,0.10,-0.17
HE0328-1047,J.Ren+_AAP_537_A118_2012,5301,3.03,-2.08,0.11,-0.13
HE0330-4004,P.S.Barklem+_AAP_439_129_2005,5946,3.78,-2.19,0.04,-0.23
HE0330-4144,P.S.Barklem+_AAP_439_129_2005,5961,4.20,-1.89,0.15,-0.08
HE0330-4144,J.Ren+_AAP_537_A118_2012,5961,4.20,-1.73,0.15,-0.06
HE0333-4001,P.S.Barklem+_AAP_439_129_2005,5892,4.31,-2.64,0.27,-0.05
HE0336+0113,J.G.Cohen+_ApJ_778_56_2013,5700,3.50,-2.73,2.46,2.12
HE0336+0113,J.G.Cohen+_AJ_132_137_2006,5700,3.50,-2.73,2.46,2.12
HE0336-3829,P.S.Barklem+_AAP_439_129_2005,5740,3.22,-2.75,0.19,-0.16
HE0337-5127,P.S.Barklem+_AAP_439_129_2005,5247,2.86,-2.61,0.12,-0.20
HE0338-3945,P.S.Barklem+_AAP_439_129_2005,6162,4.09,-2.41,2.03,1.73
HE0338-3945,K.Jonsell+_AAP_451_651_2006,6160,4.13,-2.43,2.08,1.78
HE0339-4027,P.S.Barklem+_AAP_439_129_2005,5896,4.11,-1.81,0.14,-0.08
HE0340-3430,P.S.Barklem+_AAP_439_129_2005,5914,3.81,-1.95,0.02,-0.22
HE0341-4024,P.S.Barklem+_AAP_439_129_2005,6108,4.20,-1.82,0.22,-0.00
HE0341-4024,J.Ren+_AAP_537_A118_2012,6108,4.20,-1.65,0.23,0.03
HE0344+0139,P.S.Barklem+_AAP_439_129_2005,6291,4.18,-1.80,0.37,0.15
HE0347-1819,P.S.Barklem+_AAP_439_129_2005,5198,4.23,-2.77,-0.01,-0.35
HE0347-1819,J.Ren+_AAP_537_A118_2012,5198,4.23,-2.61,-0.01,-0.33
HE0353-6024,P.S.Barklem+_AAP_439_129_2005,5320,3.15,-3.17,0.25,-0.19
HE0353-6024,J.Ren+_AAP_537_A118_2012,5320,3.15,-3.00,0.25,-0.14
