# object_id,reference,teff,logg,[Fe/H],[C/Fe]_1D,[C/Fe]_3D 
CS22898-027,T.Masseron+_ApJ_751_14_2012,6000,3.50,-2.54,2.11,1.80
CS22898-062,J.A.Johnson+_ApJ_658_1203_2007,5309,3.10,-1.72,-0.09,-0.28
CS22941-012,C.Sneden+_ApJ_592_504_2003,7200,4.20,-2.03,0.99,0.74
CS22943-0095,D.Fabbian+_AAP_500_1143_2009,6349,4.18,-2.29,0.42,0.14
CS22943-059,I.U.Roederer+_AJ_147_136_2014,5810,3.60,-2.95,0.22,-0.16
CS22943-095,I.U.Roederer+_AJ_147_136_2014,6140,3.80,-2.52,0.45,0.14
CS22943-095,A.M.Amarsi+_AAP_622_L4_2019,6314,4.17,-2.20,0.33,0.06
CS22943-132,I.U.Roederer+_AJ_147_136_2014,5850,3.60,-2.63,0.65,0.32
CS22943-137,I.U.Roederer+_AJ_147_136_2014,5400,3.10,-3.64,0.64,0.06
CS22944-014,I.U.Roederer+_AJ_147_136_2014,6020,3.70,-2.64,0.45,0.13
CS22944-032,D.K.Lai+_ApJ_667_1185_2007,5528,3.44,-2.47,0.61,0.31
CS22944-032,D.K.Lai+_ApJ_681_1524_2008,5300,2.87,-2.98,0.40,0.02
CS22944-061,I.U.Roederer+_AJ_147_136_2014,5920,3.60,-2.96,0.44,0.06
CS22945-017,I.U.Roederer+_AJ_147_136_2014,6080,3.70,-2.89,1.94,1.59
CS22945-017,T.Masseron+_AAP_509_A93_2010,6400,3.80,-2.57,2.29,1.98
CS22945-024,J.A.Johnson+_ApJ_658_1203_2007,5289,3.04,-2.24,0.81,0.54
CS22945-031,I.U.Roederer+_AJ_147_136_2014,5820,3.55,-3.29,0.59,0.12
CS22945-058,I.U.Roederer+_AJ_147_136_2014,5990,3.65,-2.98,0.95,0.59
CS22947-187,J.A.Johnson+_ApJ_658_1203_2007,5489,3.44,-2.23,0.71,0.44
CS22948-093,I.U.Roederer+_ApJ_711_573_2010,6480,4.00,-3.36,1.83,1.38
CS22948-093,I.U.Roederer+_AJ_147_136_2014,6540,3.85,-3.32,1.64,1.20
CS22948-104,J.A.Johnson+_ApJ_658_1203_2007,5270,2.99,-2.37,0.36,0.07
CS22949-008,J.A.Johnson+_ApJ_658_1203_2007,6144,3.82,-1.90,1.26,1.03
CS22949-008,D.M.Allen+_AAP_548_A34_2012,6000,3.74,-2.45,1.93,1.63
CS22949-008a,T.Masseron+_ApJ_751_14_2012,6300,4.00,-2.19,1.61,1.34
CS22949-008b,T.Masseron+_ApJ_751_14_2012,5300,4.70,-2.19,1.61,1.34
CS22949-029,D.K.Lai+_ApJ_667_1185_2007,6244,3.81,-1.53,0.51,0.32
CS22949-030,I.U.Roederer+_AJ_147_136_2014,5890,3.60,-3.01,0.65,0.26
CS22950-153,D.K.Lai+_ApJ_667_1185_2007,5293,3.02,-1.93,-0.19,-0.41
CS22951-005,I.U.Roederer+_AJ_147_136_2014,5950,3.65,-2.74,0.34,-0.00
CS22953-037,I.U.Roederer+_AJ_147_136_2014,6150,3.70,-3.21,1.00,0.59
CS22953-037,P.Bonifacio+_AAP_501_519_2009,6364,4.25,-2.88,0.48,0.13
CS22954-004,I.U.Roederer+_AJ_147_136_2014,5810,3.55,-3.00,0.25,-0.14
CS22954-015,I.U.Roederer+_AJ_147_136_2014,5930,3.75,-2.11,0.16,-0.10
CS22955-110,I.U.Roederer+_AJ_147_136_2014,6710,3.45,-1.37,0.48,0.35
CS22956-015,I.U.Roederer+_AJ_147_136_2014,5960,3.70,-2.81,0.54,0.20
CS22956-021,I.U.Roederer+_AJ_147_136_2014,6020,3.70,-2.73,0.37,0.04
CS22956-028,C.Sneden+_ApJ_592_504_2003,6900,3.90,-2.08,1.73,1.47
CS22956-028,T.Masseron+_AAP_509_A93_2010,6700,3.50,-2.38,1.85,1.56
CS22956-062,I.U.Roederer+_AJ_147_136_2014,5540,3.40,-2.75,0.21,-0.14
CS22956-081,I.U.Roederer+_AJ_147_136_2014,6310,3.80,-2.71,1.08,0.75
CS22956-102,I.U.Roederer+_AJ_147_136_2014,6220,3.85,-2.39,2.21,1.92
CS22956-106,I.U.Roederer+_AJ_147_136_2014,6410,3.90,-2.69,1.26,0.93
CS22957-019,I.U.Roederer+_AJ_147_136_2014,6070,3.75,-2.43,0.35,0.05
CS22957-024,I.U.Roederer+_AJ_147_136_2014,6160,3.75,-2.91,0.78,0.42
CS22957-026,I.U.Roederer+_AJ_147_136_2014,6120,3.90,-1.93,0.33,0.09
CS22957-027,A.Arentsen+_AAP_621_A108_2019,5220,2.70,-3.19,2.63,2.19
CS22957-036,I.U.Roederer+_AJ_147_136_2014,5970,3.75,-2.28,0.23,-0.05
CS22958-041,I.U.Roederer+_AJ_147_136_2014,6010,3.65,-3.10,1.07,0.68
CS22958-042,I.U.Roederer+_AJ_147_136_2014,5760,3.55,-3.40,2.56,2.05
CS22958-042,J.A.Johnson+_ApJ_658_1203_2007,6224,3.86,-2.63,2.51,2.19
CS22958-042,I.U.Roederer+_ApJ_784_158_2014,5760,3.55,-3.40,2.56,2.05
CS22958-042,T.Sivarani+_AAP_459_125_2006,6250,3.50,-2.85,3.12,2.76
CS22958-052,I.U.Roederer+_AJ_147_136_2014,6090,3.75,-2.62,0.52,0.20
CS22958-065,I.U.Roederer+_AJ_147_136_2014,6020,3.75,-2.29,0.38,0.10
CS22958-074,I.U.Roederer+_AJ_147_136_2014,5800,3.60,-2.67,0.45,0.12
CS22958-083,J.A.Johnson+_ApJ_658_1203_2007,5189,2.74,-2.48,0.46,0.16
CS22959-139,I.U.Roederer+_AJ_147_136_2014,6090,3.75,-2.67,0.41,0.08
CS22960-010,P.S.Barklem+_AAP_439_129_2005,5737,4.85,-2.65,0.78,0.46
CS22960-010,I.U.Roederer+_AJ_147_136_2014,5280,4.00,-3.02,0.61,0.24
CS22960-029,I.U.Roederer+_AJ_147_136_2014,5890,3.60,-3.05,0.45,0.05
CS22962-006,D.K.Lai+_ApJ_667_1185_2007,6325,4.51,-2.08,0.46,0.20
CS22963-004,D.K.Lai+_ApJ_667_1185_2007,5803,3.61,-2.86,0.91,0.55
CS22963-004,D.K.Lai+_ApJ_681_1524_2008,5659,3.40,-3.42,0.49,-0.02
CS22964-115,I.U.Roederer+_AJ_147_136_2014,6090,3.70,-2.82,0.48,0.14
CS22964-161A,I.B.Thompson+_ApJ_677_556_2008,6050,3.70,-2.37,1.58,1.29
CS22964-161B,I.B.Thompson+_ApJ_677_556_2008,5850,4.10,-2.39,1.40,1.11
CS22964-176,I.U.Roederer+_AJ_147_136_2014,6000,3.70,-2.56,0.25,-0.06
CS22964-183,I.U.Roederer+_AJ_147_136_2014,6010,3.65,-3.01,0.83,0.46
CS22964-214,I.U.Roederer+_AJ_147_136_2014,6180,3.75,-2.95,0.73,0.37
CS22964-214,C.Sneden+_ApJ_592_504_2003,6800,4.50,-2.30,0.99,0.71
CS22965-029,D.K.Lai+_ApJ_667_1185_2007,5467,3.38,-2.14,-0.64,-0.89
CS22965-054,P.Bonifacio+_AAP_501_519_2009,6089,3.75,-3.03,0.73,0.36
CS22965-054,I.U.Roederer+_AJ_147_136_2014,6050,3.70,-3.17,1.02,0.61
CS22965-054,D.K.Lai+_ApJ_681_1524_2008,6205,3.73,-3.09,1.16,0.77
CS22966-011,P.Bonifacio+_AAP_501_519_2009,6204,4.75,-3.06,0.56,0.18
CS22968-001,I.U.Roederer+_AJ_147_136_2014,5940,3.65,-3.12,0.57,0.15
CS22968-001,G.W.Preston+_AJ_132_85_2006,6000,4.00,-3.01,0.48,0.11
CS22968-026,I.U.Roederer+_AJ_147_136_2014,5850,3.65,-2.57,0.15,-0.17
