# MIST version number  = 1.2     
# MESA revision number =     7503
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2490  1.49045E-06    -4.00     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     2
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   375   25
#   1                               2                               3                               4                               5                               6                               7                               8                               9                              10                              11                              12                              13                              14                              15                              16                              17                              18                              19                              20                              21                              22                              23                              24                              25
# EEP                isochrone_age_yr                    initial_mass                       star_mass                       star_mdot                    he_core_mass                     c_core_mass                           log_L                          log_LH                         log_LHe                        log_Teff                           log_R                           log_g                      surface_h1                     surface_he3                     surface_he4                     surface_c12                     surface_o16                    log_center_T                  log_center_Rho                    center_gamma                       center_h1                      center_he4                      center_c12                           phase
  279         1.3000000000000031E+010         2.0825913818279410E-001         2.0825166687376073E-001        -5.9126722534010885E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.8381810931162548E+000        -1.8380107021067480E+000        -6.4088645985769531E+001         3.6409791755043397E+000        -6.7837174538469347E-001         5.1109309299390162E+000         7.3591129215193707E-001         1.0184497918230208E-002         2.5390278135920374E-001         2.4962777735120228E-007         6.1088824398983324E-007         6.8334161311089145E+000         2.2570868149218524E+000         2.0665287201890514E-001         7.3591129194257587E-001         2.5390278156155310E-001         2.4962777757736834E-007         0.0000000000000000E+000
  280         1.3000000000000031E+010         2.1641984159747604E-001         2.1641187783877519E-001        -6.2998550380161224E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.8068288822117617E+000        -1.8066775242755366E+000        -6.3788986902792693E+001         3.6418938695315624E+000        -6.6452502798689195E-001         5.1000350914204464E+000         7.3602781194579425E-001         9.5581310578618257E-003         2.5441262842529577E-001         2.4962122899430211E-007         6.1088824410750963E-007         6.8390252719028339E+000         2.2330370095094443E+000         2.0011362602410646E-001         7.3602781173790377E-001         2.5441262862693759E-001         2.4962122921971092E-007         0.0000000000000000E+000
  281         1.3000000000000031E+010         2.2491934187419108E-001         2.2491088147399296E-001        -6.6936383985986743E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.7778672911487694E+000        -1.7777320091525233E+000        -6.3495785407027583E+001         3.6425621305522302E+000        -6.5138075449673061E-001         5.0902199018507401E+000         7.3616224865950697E-001         8.9463993596362573E-003         2.5488992340909000E-001         2.4961305497022546E-007         6.1088824425914737E-007         6.8444719203290827E+000         2.2107408275090483E+000         1.9432793810948634E-001         7.3616224845404532E-001         2.5488992360904095E-001         2.4961305519427885E-007         0.0000000000000000E+000
  282         1.3000000000000031E+010         2.3311032336495996E-001         2.3310135842411334E-001        -7.0731517432032820E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.7500670319804823E+000        -1.7499471920424847E+000        -6.3210778150353960E+001         3.6432058019227425E+000        -6.3876796765361110E-001         5.0808697377623320E+000         7.3631189607223235E-001         8.3239982669957632E-003         2.5536267708826255E-001         2.4960468047883688E-007         6.1088824441493769E-007         6.8497502314961407E+000         2.1894179968694027E+000         1.8876423290251912E-001         7.3631189586939771E-001         2.5536267728633938E-001         2.4960468070144349E-007         0.0000000000000000E+000
  283         1.3000000000000031E+010         2.4087372836722215E-001         2.4086426086562807E-001        -7.4333615593724798E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.7238018310186825E+000        -1.7236970191089913E+000        -6.2938966162855749E+001         3.6438154468583219E+000        -6.2685465704387044E-001         5.0720898284328886E+000         7.3647166718618373E-001         7.7067026200686017E-003         2.5582020162051966E-001         2.4959624686863043E-007         6.1088824457223753E-007         6.8547721382563207E+000         2.1693324433950241E+000         1.8350183908559886E-001         7.3647166698611122E-001         2.5582020181657700E-001         2.4959624708972006E-007         0.0000000000000000E+000
  284         1.3000000000000031E+010         2.4852897590606454E-001         2.4851902231107287E-001        -7.7875577630827269E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.6999189583738827E+000        -1.6998258150229892E+000        -6.2683663586078168E+001         3.6443778338889312E+000        -6.1603799478268961E-001         5.0643754812976258E+000         7.3658150512239384E-001         7.1695207713674478E-003         2.5624754553213341E-001         2.4958584556229400E-007         6.1088824477598030E-007         6.8594582870112664E+000         2.1513823957419445E+000         1.7890820734741777E-001         7.3658150492383290E-001         2.5624754572731390E-001         2.4958584578217470E-007         0.0000000000000000E+000
  285         1.3000000000000031E+010         2.5554051356885921E-001         2.5553013035051014E-001        -8.1130331009034300E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.6797795643846722E+000        -1.6796958628716556E+000        -6.2464409261124494E+001         3.6448575106317480E+000        -6.0692765127371795E-001         5.0580644444934064E+000         7.3662771262913740E-001         6.7661200939045096E-003         2.5660473870182482E-001         2.4957417546899127E-007         6.1088824501208290E-007         6.8634681309743515E+000         2.1364771988660718E+000         1.7523937187348715E-001         7.3662771243061553E-001         2.5660473889743307E-001         2.4957417568826211E-007         0.0000000000000000E+000
  286         1.3000000000000031E+010         2.6213300848609611E-001         2.6212221340623448E-001        -8.4197283407416458E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.6611231530342885E+000        -1.6610486427711797E+000        -6.2260118276969877E+001         3.6453032177101150E+000        -5.9849085975526006E-001         5.0522640241582115E+000         7.3667159549896866E-001         6.3940681212091401E-003         2.5693290780363143E-001         2.4956225589954597E-007         6.1088824525389683E-007         6.8671994316444440E+000         2.1227235220468512E+000         1.7187358839567923E-001         7.3667159530033388E-001         2.5693290799977847E-001         2.4956225611831324E-007         0.0000000000000000E+000
  287         1.3000000000000031E+010         2.6835483472141830E-001         2.6834366588491643E-001        -8.7097452907215403E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.6447411572474102E+000        -1.6446744560905864E+000        -6.2077832225331782E+001         3.6456989698719449E+000        -5.9109136618548175E-001         5.0473178324822561E+000         7.3667307583284880E-001         6.1122697544439639E-003         2.5721322583549744E-001         2.4954913486298807E-007         6.1088824552524500E-007         6.8705190709690118E+000         2.1108237527122564E+000         1.6907849452857870E-001         7.3667307563303686E-001         2.5721322603310565E-001         2.4954913508167001E-007         0.0000000000000000E+000
  288         1.3000000000000031E+010         2.7496406185699668E-001         2.7495248622495061E-001        -9.0148797257555804E-016         0.0000000000000000E+000         0.0000000000000000E+000        -1.6274585963650940E+000        -1.6273982338388882E+000        -6.1880980007352505E+001         3.6461196360823864E+000        -5.8329141816520580E-001         5.0421842406034170E+000         7.3669388803572688E-001         5.7983929593124588E-003         2.5750629042670642E-001         2.4953422584936765E-007         6.1088824583349829E-007         6.8740903616919180E+000         2.0983637345071999E+000         1.6611489705951998E-001         7.3669388783482259E-001         2.5750629062569053E-001         2.4953422606778107E-007         0.0000000000000000E+000
